package,version,relationship,license,status
"@unrs/resolver-binding-linux-arm-musleabihf","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-arm64-gnu","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-arm64-musl","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-loong64-gnu","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-loong64-musl","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-ppc64-gnu","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-riscv64-gnu","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-riscv64-musl","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-s390x-gnu","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-x64-gnu","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-x64-musl","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-openharmony-arm64","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-wasm32-wasi","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-win32-arm64-msvc","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-win32-ia32-msvc","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-win32-x64-msvc","1.12.2","transitive","MIT","MIT"
"@use-gesture/core","10.3.1","transitive","MIT","MIT"
"@use-gesture/react","10.3.1","transitive","MIT","MIT"
"@vitest/coverage-v8","4.1.11","direct-development","MIT","MIT"
"@vitest/expect","4.1.11","transitive","MIT","MIT"
"@vitest/mocker","4.1.11","transitive","MIT","MIT"
"@vitest/pretty-format","4.1.11","transitive","MIT","MIT"
"@vitest/runner","4.1.11","transitive","MIT","MIT"
"@vitest/snapshot","4.1.11","transitive","MIT","MIT"
"@vitest/spy","4.1.11","transitive","MIT","MIT"
"@vitest/utils","4.1.11","transitive","MIT","MIT"
"@webgpu/types","0.1.72","transitive","BSD-3-Clause","FLAGGED"
"abort-controller","3.0.0","transitive","MIT","MIT"
"accepts","2.0.0","transitive","MIT","MIT"
"acorn","8.18.0","transitive","MIT","MIT"
"acorn-jsx","5.3.2","transitive","MIT","MIT"
"agentkeepalive","4.6.0","transitive","MIT","MIT"
"ajv","6.15.0","transitive","MIT","MIT"
"ansi-colors","4.1.3","transitive","MIT","MIT"
"ansi-regex","5.0.1","transitive","MIT","MIT"
"ansi-regex","6.3.0","transitive","MIT","MIT"
"ansi-styles","4.3.0","transitive","MIT","MIT"
"ansi-styles","5.2.0","transitive","MIT","MIT"
"ansi-styles","6.2.3","transitive","MIT","MIT"
"any-promise","1.3.0","transitive","MIT","MIT"
"anymatch","3.1.3","transitive","ISC","FLAGGED"
"arg","5.0.2","transitive","MIT","MIT"
"argparse","2.0.1","transitive","Python-2.0","FLAGGED"
"aria-hidden","1.2.6","transitive","MIT","MIT"
"aria-query","5.3.0","transitive","Apache-2.0","FLAGGED"
"aria-query","5.3.2","transitive","Apache-2.0","FLAGGED"
"array-buffer-byte-length","1.0.2","transitive","MIT","MIT"
"array-includes","3.1.9","transitive","MIT","MIT"
"array-timsort","1.0.3","transitive","MIT","MIT"
"array.prototype.findlast","1.2.5","transitive","MIT","MIT"
"array.prototype.findlastindex","1.2.6","transitive","MIT","MIT"
"array.prototype.flat","1.3.3","transitive","MIT","MIT"
"array.prototype.flatmap","1.3.3","transitive","MIT","MIT"
"array.prototype.tosorted","1.1.4","transitive","MIT","MIT"
"arraybuffer.prototype.slice","1.0.4","transitive","MIT","MIT"
"assertion-error","2.0.1","transitive","MIT","MIT"
"ast-types-flow","0.0.8","transitive","MIT","MIT"
"ast-v8-to-istanbul","1.0.6","transitive","MIT","MIT"
"async-function","1.0.0","transitive","MIT","MIT"
"asynckit","0.4.0","transitive","MIT","MIT"
"autoprefixer","10.5.4","direct-development","MIT","MIT"
"available-typed-arrays","1.0.7","transitive","MIT","MIT"
"aws4fetch","1.0.20","transitive","MIT","MIT"
"axe-core","4.13.0","transitive","MPL-2.0","FLAGGED"
"axobject-query","4.1.0","transitive","Apache-2.0","FLAGGED"
"balanced-match","1.0.2","transitive","MIT","MIT"
"balanced-match","4.0.4","transitive","MIT","MIT"
"balanced-match","4.0.4","transitive","MIT","MIT"
"base64-js","1.5.1","transitive","MIT","MIT"
"baseline-browser-mapping","2.11.20","transitive","Apache-2.0","FLAGGED"
"bidi-js","1.0.3","transitive","MIT","MIT"
